date,adjusted_close
2020-01-02,300.2916
2020-01-03,298.0177
2020-01-06,299.1547
2020-01-07,298.3135
2020-01-08,299.9034
2020-01-09,301.9369
2020-01-10,301.0681
2020-01-13,303.1386
2020-01-14,302.6764
2020-01-15,303.3604
2020-01-16,305.8839
2020-01-17,306.836
2020-01-21,306.2351
2020-01-22,306.2721
2020-01-23,306.6234
2020-01-24,303.8965
2020-01-27,299.0253
2020-01-28,302.1588
2020-01-29,301.9092
2020-01-30,302.889
2020-01-31,297.3892
2020-02-03,299.5983
2020-02-04,304.1646
2020-02-05,307.6771
2020-02-06,308.7124
2020-02-07,307.067
2020-02-10,309.3594
2020-02-11,309.8955
2020-02-12,311.8921
2020-02-13,311.5594
2020-02-14,312.0585
2020-02-18,311.2543
2020-02-19,312.7425
2020-02-20,311.4577
2020-02-21,308.2502
2020-02-24,298.027
2020-02-25,288.9961
2020-02-26,287.9331
2020-02-27,275.0016
2020-02-28,273.8461
2020-03-02,285.7055
2020-03-03,277.525
2020-03-04,289.1902
2020-03-05,279.5771
2020-03-06,274.9553
2020-03-09,253.4828
2020-03-10,266.5993
2020-03-11,253.603
2020-03-12,229.339
2020-03-13,248.9443
2020-03-16,221.7039
2020-03-17,233.6741
2020-03-18,221.8425
2020-03-19,222.314
2020-03-20,212.7335
2020-03-23,207.2943
2020-03-24,226.0758
2020-03-25,229.4602
2020-03-26,242.8584
2020-03-27,235.6247
2020-03-30,243.2768
2020-03-31,239.6506
2020-04-01,228.8652
2020-04-02,234.1463
2020-04-03,230.7619
2020-04-06,246.2613
2020-04-07,246.5124
2020-04-08,254.7874
2020-04-09,258.6646
2020-04-13,256.303
2020-04-14,263.8621
2020-04-15,258.2555
2020-04-16,259.5014
2020-04-17,266.5119
2020-04-20,261.8166
2020-04-21,253.8669
2020-04-22,259.5014
2020-04-23,259.4828
2020-04-24,263.0997
2020-04-27,266.8932
2020-04-28,265.6658
2020-04-29,272.6206
2020-04-30,270.0823
2020-05-01,262.9323
2020-05-04,263.6575
2020-05-05,266.0935
2020-05-06,264.2898
2020-05-07,267.4789
2020-05-08,271.9047
2020-05-11,271.9604
2020-05-12,266.5398
2020-05-13,261.8259
2020-05-14,264.9592
2020-05-15,266.1772
2020-05-18,274.2849
2020-05-19,271.4677
2020-05-20,276.0794
2020-05-21,274.1733
2020-05-22,274.694
2020-05-26,278.0784
2020-05-27,282.2159
2020-05-28,281.6952
2020-05-29,282.9504
2020-06-01,284.0941
2020-06-02,286.4464
2020-06-03,290.2585
2020-06-04,289.4961
2020-06-05,296.9157
2020-06-08,300.5047
2020-06-09,298.2639
2020-06-10,296.5996
2020-06-11,279.501
2020-06-12,282.8482
2020-06-15,285.4887
2020-06-16,290.9837
2020-06-17,289.775
2020-06-18,289.8866
2020-06-19,288.2299
2020-06-22,290.079
2020-06-23,291.4144
2020-06-24,283.9808
2020-06-25,287.0252
2020-06-26,280.208
2020-06-29,284.3263
2020-06-30,287.9684
2020-07-01,289.9856
2020-07-02,291.5825
2020-07-06,296.0838
2020-07-07,293.03
2020-07-08,295.2713
2020-07-09,293.5903
2020-07-10,296.5881
2020-07-13,294.0199
2020-07-14,297.8301
2020-07-15,300.5663
2020-07-16,299.5764
2020-07-17,300.4449
2020-07-20,302.873
2020-07-21,303.5174
2020-07-22,305.245
2020-07-23,301.6029
2020-07-24,299.6605
2020-07-27,301.8457
2020-07-28,299.9313
2020-07-29,303.6201
2020-07-30,302.5368
2020-07-31,304.9275
2020-08-03,307.0474
2020-08-04,308.2334
2020-08-05,310.1479
2020-08-06,312.2211
2020-08-07,312.4452
2020-08-10,313.3791
2020-08-11,310.7922
2020-08-12,315.1254
2020-08-13,314.5557
2020-08-14,314.5651
2020-08-17,315.5643
2020-08-18,316.246
2020-08-19,314.9293
2020-08-20,315.9098
2020-08-21,317.0305
2020-08-24,320.243
2020-08-25,321.3636
2020-08-26,324.5855
2020-08-27,325.2952
2020-08-28,327.3965
2020-08-31,326.2104
2020-09-01,329.2829
2020-09-02,334.0456
2020-09-03,322.5497
2020-09-04,319.9161
2020-09-08,311.1751
2020-09-09,317.32
2020-09-10,311.8101
2020-09-11,311.9689
2020-09-14,316.0779
2020-09-15,317.6749
2020-09-16,316.4141
2020-09-17,313.6312
2020-09-18,310.0205
2020-09-21,306.5701
2020-09-22,309.6923
2020-09-23,302.5102
2020-09-24,303.3166
2020-09-25,308.2203
2020-09-28,313.3396
2020-09-29,311.6332
2020-09-30,313.9959
2020-10-01,316.0118
2020-10-02,313.0114
2020-10-05,318.5621
2020-10-06,314.0334
2020-10-07,319.4997
2020-10-08,322.3313
2020-10-09,325.2097
2020-10-12,330.4416
2020-10-13,328.2851
2020-10-14,326.2223
2020-10-15,325.8192
2020-10-16,325.6223
2020-10-19,320.6717
2020-10-20,321.9562
2020-10-21,321.3468
2020-10-22,323.1095
2020-10-23,324.2065
2020-10-26,318.2152
2020-10-27,317.1182
2020-10-28,306.2794
2020-10-29,309.3923
2020-10-30,306.1669
2020-11-02,309.5985
2020-11-03,315.0648
2020-11-04,322.1062
2020-11-05,328.3882
2020-11-06,328.3132
2020-11-09,332.4387
2020-11-10,331.9511
2020-11-11,334.4171
2020-11-12,331.1729
2020-11-13,335.7578
2020-11-16,339.9489
2020-11-17,338.1206
2020-11-18,334.0514
2020-11-19,335.4578
2020-11-20,333.1607
2020-11-23,335.1578
2020-11-24,340.5584
2020-11-25,340.0333
2020-11-27,340.9803
2020-11-30,339.4708
2020-12-01,343.1837
2020-12-02,343.9057
2020-12-03,343.8119
2020-12-04,346.7747
2020-12-07,346.0622
2020-12-08,347.0748
2020-12-09,343.9619
2020-12-10,343.8494
2020-12-11,343.4462
2020-12-14,341.9085
2020-12-15,346.531
2020-12-16,347.0748
2020-12-17,349.0156
2020-12-18,347.6221
2020-12-21,346.3791
2020-12-22,345.7953
2020-12-23,346.1061
2020-12-24,347.4526
2020-12-28,350.4375
2020-12-29,349.7689
2020-12-30,350.268
2020-12-31,352.0476
