Symbol,Total Return,Annual Return (CAGR),Sharpe Ratio,Maximum Drawdown,Win Rate,Profit-Loss Ratio,Profit Factor,Calmar Ratio,Expected Value,Avg. PnL per Trade,Pareto Ratio,B&H Return,B&H CAGR,B&H Sharpe,B&H Max DD
SPY,2.1436737370130188,0.15077161732123945,1.0118017569200772,-0.3113697335858665,0.6,7.537449261808505,11.306173892712756,0.4842205296734826,21436.737370130188,21436.737370130188,0.4721646848618519,1.9025014166935477,0.13956467727255184,0.7757181201718277,-0.3371714239638769
VOO,2.158666771187929,0.1514431209032021,1.0023271443670134,-0.3126076808686069,0.6,7.580298913538251,11.370448370307377,0.4844510553368509,21586.667711879294,21586.667711879294,0.472243855185327,1.916580912981526,0.1402409864934664,0.776341837293684,-0.33992539939474975
VTI,2.2394813081310825,0.15501517137987597,1.034214241334216,-0.30548073019781785,0.6,7.815650672483107,11.72347600872466,0.5074466441123601,22394.813081310822,22394.813081310822,0.4557850951684989,1.7909861060829009,0.13410393058707948,0.7401955825206494,-0.3499936572370924
QQQ,4.116948330318738,0.22160124904475564,1.1732503298564454,-0.28549104571491435,0.8,6.550626612631662,26.20250645052665,0.7762108562453557,41169.48330318738,41169.48330318738,0.47148904617774695,3.051057522310611,0.1871126365761666,0.8400415340284749,-0.351200914982844
VUG,3.544691518956979,0.20396652973331886,1.1289049799381414,-0.3079790628956862,0.8,6.138395476799152,24.55358190719661,0.6622740124461096,35446.915189569794,35446.915189569794,0.5063321749996924,2.46682910483323,0.16466039557466283,0.7774332573834014,-0.3561363779329433
VTV,1.4824180476767883,0.11792917824581761,0.9315542281119867,-0.27801994384884154,0.75,6.218297900344445,18.654893701033334,0.42417524661444894,18530.225595959855,18530.225595959855,0.37154991504264895,1.3740159994562462,0.11182591298362476,0.6843335781881348,-0.36779628565958256
VB,2.3045000726714417,0.15783272270761395,0.9433557493959231,-0.26006852823356474,0.75,9.887950302125416,29.66385090637625,0.6068889756851551,28806.250908393024,28806.250908393024,0.36517301180831047,1.108395184718486,0.09576814698425462,0.5168083436764214,-0.420463271051958
VEA,1.5506140281855259,0.12164997292910096,0.9353842330726806,-0.2758255977237666,0.6,4.883968914082387,7.32595337112358,0.44103946092389434,15506.140281855256,15506.140281855256,0.470255269548713,0.9882694959529399,0.08791521537799563,0.5621508026795954,-0.3571428571428572
VWO,1.2349996294843106,0.10363061415106722,0.7504220904915321,-0.2705405351128982,0.6,4.185570202704023,6.278355304056034,0.38305022982164777,12349.996294843104,12349.996294843104,0.46488258988637565,0.5910365755258196,0.058588884415007536,0.388811003249063,-0.3638868019033309
XLF,0.41220797574156554,0.04322640925458976,0.3646116902115383,-0.4125358823065124,0.5,3.0410533278311975,3.0410533278311975,0.1047821804321805,5152.59969676957,5152.59969676957,1.1505896409766516,1.183966588108281,0.10050954762374231,0.5271387232967105,-0.42877646214567633
XLE,0.5990024802743907,0.059237286404295375,0.4506160201190769,-0.26299731465718434,0.5,4.840093873051567,4.840093873051567,0.22523913022272063,7487.5310034298855,7487.5310034298855,0.7458152027937263,1.1188431451071947,0.09643245574095971,0.45208213700192207,-0.6680911680911681
